goods,aprice,bprice,discount,url,availsize
JKUSS LINE 여자수영복 JC2WBO0441,22000,62000,65,https://www.sdmall.com/detail/01041A,['80(S)']
페스티벌 여자수영복 JB6WAO0301,22000,57000,62,https://www.sdmall.com/detail/00FA7F,"['80(S)', '85(M)']"
파이톤,22000,57000,62,https://www.sdmall.com/detail/01005F,"['85(S)', '90(M)', '95(L)', '100(XL)', '105(2XL)']"
티제이,22000,52000,58,https://www.sdmall.com/detail/00FC89,"['85(S)', '90(M)', '95(L)', '100(XL)']"
DreamLike 여자수영복 JC2WBH0455,26000,72000,64,https://www.sdmall.com/detail/010428,['80(S)']
빈티지스퀘어,22000,62000,65,https://www.sdmall.com/detail/01009A,"['85(S)', '90(M)', '95(L)']"
다이스 여자수영복 JB8WXH0346,26000,72000,64,https://www.sdmall.com/detail/00FC70,"['80(S)', '85(M)']"
팜,22000,62000,65,https://www.sdmall.com/detail/00FA93,"['80(2S)', '85(S)', '90(M)', '95(L)', '100(XL)']"
인디언 여자수영복 JB6WBH0317,26000,72000,64,https://www.sdmall.com/detail/00FA8F,"['80(S)', '85(M)']"
리저드 여자수영복 JB6WBO0310,22000,57000,62,https://www.sdmall.com/detail/00FA88,['80(S)']
롤리팝,17800,46000,62,https://www.sdmall.com/detail/00FC7E,"['85(S)', '90(M)', '95(L)', '100(XL)']"
지브라 남자수영복 JB9MNS0389,17800,46000,62,https://www.sdmall.com/detail/01009C,"['100(XL)', '105(2XL)']"
팜2,17800,46000,62,https://www.sdmall.com/detail/01007A,"['100(XL)', '105(2XL)']"
톡톡,17800,46000,62,https://www.sdmall.com/detail/0100A0,"['100(XL)', '105(2XL)']"
트라이앵글,22000,62000,65,https://www.sdmall.com/detail/00FA92,"['80(2S)', '85(S)', '90(M)', '95(L)', '100(XL)']"
지브라,17800,46000,62,https://www.sdmall.com/detail/0100A2,[]
트라이앵글 여자수영복 JB6WXO0311,22000,57000,62,https://www.sdmall.com/detail/00FA89,"['80(S)', '85(M)', '90(L)']"
포스트잇,22000,62000,65,https://www.sdmall.com/detail/00FC76,"['80(2S)', '85(S)', '90(M)', '95(L)', '100(XL)']"
미로,22000,57000,62,https://www.sdmall.com/detail/010073,"['85(S)', '90(M)', '95(L)', '100(XL)']"
웨이브 세트상품,29800,85000,65,https://www.sdmall.com/detail/0118ED,"['85(S)', '90(M)', '95(L)', '100(XL)', '105(2XL)']"
페스티벌 여자수영복 JB6WGO0299,22000,57000,62,https://www.sdmall.com/detail/00FA73,['80(S)']
인디언,17800,46000,62,https://www.sdmall.com/detail/00FA97,"['80(2S)', '85(S)', '90(M)', '95(L)', '100(XL)']"
머메이드,17800,46000,62,https://www.sdmall.com/detail/010075,"['85(S)', '90(M)', '95(L)', '100(XL)', '105(2XL)']"
오일,17800,46000,62,https://www.sdmall.com/detail/00FA9A,"['80(2S)', '90(M)', '95(L)', '100(XL)']"
트라이앵글 여자수영복 JB6WAO0305,22000,62000,65,https://www.sdmall.com/detail/00FA83,['80(S)']
램스,17800,46000,62,https://www.sdmall.com/detail/01009D,"['100(XL)', '105(2XL)']"
삼각파티,17800,46000,62,https://www.sdmall.com/detail/0100A1,"['90(M)', '95(L)', '100(XL)', '105(2XL)']"
티제이,22000,52000,58,https://www.sdmall.com/detail/00FC87,"['85(S)', '90(M)', '95(L)', '100(XL)', '105(2XL)']"
페스티벌 여자수영복 JB6WXH0313,26000,72000,64,https://www.sdmall.com/detail/00FA8B,['80(S)']
스팀펑크 세트상품  여자수영복 JB2WIO0180,27800,94000,71,https://www.sdmall.com/detail/0118D0,['80(S)']
팜,17800,46000,62,https://www.sdmall.com/detail/00FA95,['80(2S)']
리저드,17800,46000,62,https://www.sdmall.com/detail/00FA99,"['80(2S)', '85(S)', '90(M)', '95(L)', '100(XL)']"
티제이,22000,52000,58,https://www.sdmall.com/detail/00FC88,"['90(M)', '95(L)', '100(XL)', '105(2XL)']"
컬러스모크,17800,46000,62,https://www.sdmall.com/detail/01009E,['105(2XL)']
네뷸라,17800,46000,62,https://www.sdmall.com/detail/00FC80,"['95(L)', '100(XL)']"
워터체크,17800,46000,62,https://www.sdmall.com/detail/010077,"['85(S)', '90(M)', '95(L)', '100(XL)', '105(2XL)']"
톡톡,22000,57000,62,https://www.sdmall.com/detail/01009B,"['85(S)', '90(M)', '95(L)']"
파이톤 세트상품,29800,85000,65,https://www.sdmall.com/detail/0118EC,"['85(S)', '90(M)', '95(L)', '100(XL)', '105(2XL)']"
로봇 세트상품  여자수영복 JB2WGO0175,27800,94000,71,https://www.sdmall.com/detail/0118D1,['80(S)']
페스티벌,17800,46000,62,https://www.sdmall.com/detail/00FA98,"['80(2S)', '85(S)', '90(M)', '95(L)', '100(XL)']"
스팀펑크 세트상품  여자수영복 JB2WGO0177,27800,94000,71,https://www.sdmall.com/detail/0118CF,['80(S)']
TJ2 하이엔드 세트상품,27800,85000,68,https://www.sdmall.com/detail/0118D3,"['80(2S)', '85(S)', '90(M)', '95(L)', '100(XL)']"
TJ2 하이엔드 세트상품,27800,85000,68,https://www.sdmall.com/detail/0118D4,"['80(2S)', '85(S)', '90(M)', '95(L)', '100(XL)']"
워터체크,17800,46000,62,https://www.sdmall.com/detail/010078,"['85(S)', '90(M)', '95(L)', '100(XL)', '105(2XL)']"
파이톤,17800,46000,62,https://www.sdmall.com/detail/010060,"['85(S)', '90(M)', '95(L)', '100(XL)', '105(2XL)']"
티제이 세트상품,29800,85000,65,https://www.sdmall.com/detail/0118EB,"['85(S)', '90(M)', '95(L)', '100(XL)', '105(2XL)']"
레인 하이엔드 BLACK 세트상품,27800,85000,68,https://www.sdmall.com/detail/0116AF,"['80(2S)', '85(S)', '90(M)', '95(L)', '100(XL)']"
실리콘수모 JK-109C-D/BU,5000,12000,59,https://www.sdmall.com/detail/0105E5,[]
JMC 세트상품  여자수영복 JB1WFO0154,27800,94000,71,https://www.sdmall.com/detail/0116A3,['80(S)']
JK-80C-WHITE제이커스 실리콘수모,5000,12000,59,https://www.sdmall.com/detail/00F959,[]
LOVELEO 하이엔드,17800,46000,62,https://www.sdmall.com/detail/00ECB6,['80(2S)']
VINTAGE 하이엔드,22000,62000,65,https://www.sdmall.com/detail/00ECB3,"['80(2S)', '85(S)', '90(M)', '95(L)', '100(XL)']"
TJ2 하이엔드,17800,46000,62,https://www.sdmall.com/detail/00ECB2,['80(2S)']
